id,model,window,process_variance,entry,exit,stop,holding,reverting_only,cost_buffer,train_return,train_final_equity,train_drawdown,train_sharpe,train_entries,train_commission,train_slippage,train_borrow,train_dividends_net,train_max_gross,train_max_abs_net
283,kalman,120,0.001,2.5,0.1,4.0,30,True,1.5,-0.000705787851306372,99929.42121486936,-0.0010977965428524694,-0.3552408403974542,2,17.229547905101775,16.000272038269046,5.849113960475138,0.0,20267.2699508667,254.35013389587402
284,kalman,120,0.001,2.5,0.5,4.0,10,False,1.5,0.0016644104833369866,100166.4410483337,-0.004790895560926711,0.17866776488873395,13,117.83259999851226,104.48306186676022,35.933856817637405,0.0,20502.710372924805,473.79944229125977
285,kalman,120,0.001,2.5,0.5,4.0,10,True,1.5,-0.0011825320906635461,99881.74679093364,-0.0011825320906635461,-0.5979999771919265,2,17.22801669660568,15.990063981628419,2.4949939581988607,0.0,20267.2699508667,242.28997230529785
286,kalman,120,0.001,2.5,0.5,4.0,30,False,1.5,0.0016644104833369866,100166.4410483337,-0.004790895560926711,0.17866776488873395,13,117.83259999851226,104.48306186676022,35.933856817637405,0.0,20502.710372924805,473.79944229125977
287,kalman,120,0.001,2.5,0.5,4.0,30,True,1.5,-0.0011825320906635461,99881.74679093364,-0.0011825320906635461,-0.5979999771919265,2,17.22801669660568,15.990063981628419,2.4949939581988607,0.0,20267.2699508667,242.28997230529785
288,rolling_ols,20,1e-05,1.0,0.1,4.0,10,False,1.5,-0.017074917893779684,98292.50821062204,-0.028738306140400516,-0.4176519128070196,107,952.0427733692932,851.5670203922272,798.0279873615953,-122.31000000000002,21037.3902053833,19492.90032196045
289,rolling_ols,20,1e-05,1.0,0.1,4.0,10,True,1.5,-0.027548529358750518,97245.14706412495,-0.034802769484348905,-0.8741157195710589,69,607.9774066450883,544.5919117393491,495.5595932901983,25.72500000000001,21240.17985534668,15652.520606994629
290,rolling_ols,20,1e-05,1.0,0.1,4.0,30,False,1.5,-0.022953695972211086,97704.63040277889,-0.03240266514115231,-0.5446062958961161,91,800.3889277280806,716.7562999374389,805.6028877439104,-119.637,20942.78981781006,19233.970317840576
291,rolling_ols,20,1e-05,1.0,0.1,4.0,30,True,1.5,-0.02754263613262864,97245.73638673713,-0.0332264555627555,-0.8224124956866332,61,539.0433440065766,481.3597334686281,517.0062977506038,25.546000000000006,21587.3097076416,15701.200313568115
292,rolling_ols,20,1e-05,1.0,0.5,4.0,10,False,1.5,-0.013396649071810152,98660.33509281899,-0.02421053154514352,-0.35935298641634444,119,1061.6025550967406,948.5360599105829,711.0335219711403,-108.53300000000002,21027.820011138916,19579.21032333374
293,rolling_ols,20,1e-05,1.0,0.5,4.0,10,True,1.5,-0.030007224633334384,96999.27753666656,-0.03804654774969429,-1.0663458557347703,74,654.5414749372668,585.0945412090302,426.0615531899439,39.352000000000004,21158.34037399292,15733.640609741211
294,rolling_ols,20,1e-05,1.0,0.5,4.0,30,False,1.5,-0.011740976237261336,98825.90237627387,-0.023749613701502192,-0.3077173378820306,110,980.112369282818,876.2685232307435,692.0864320183323,-107.63300000000007,21027.820011138916,19521.670322418213
295,rolling_ols,20,1e-05,1.0,0.5,4.0,30,True,1.5,-0.027399028665494263,97260.09713345057,-0.034925154463639196,-0.9404855731983055,68,603.3088226451682,538.2308892143247,404.9067609522048,39.480000000000004,21158.34037399292,15809.600315093994
296,rolling_ols,20,1e-05,1.5,0.1,4.0,10,False,1.5,-0.017935002502797892,98206.49974972021,-0.029805522211969082,-0.5024929354845569,77,680.5558977512936,610.589138891983,614.8258399335255,-1.6850000000000023,20908.82961845398,19406.59032058716
297,rolling_ols,20,1e-05,1.5,0.1,4.0,10,True,1.5,-0.023300313420267393,97669.96865797327,-0.025577783738088167,-0.8700724091754913,43,381.0744975998498,339.6229652137756,338.07746698160037,-122.93700000000001,21151.03985595703,15598.440605163574
298,rolling_ols,20,1e-05,1.5,0.1,4.0,30,False,1.5,-0.02030886340980198,97969.1136590198,-0.029614600972554195,-0.5336374872253185,74,652.2268916572763,584.6470633796689,684.1249726743838,-0.68100000000004,20942.78981781006,19291.510318756104
299,rolling_ols,20,1e-05,1.5,0.1,4.0,30,True,1.5,-0.02920944835507644,97079.05516449235,-0.031077539769561402,-1.0041300233233859,42,371.1340669878769,330.661507302475,393.75060730189495,-122.328,21496.529708862305,15642.290311813354
300,rolling_ols,20,1e-05,1.5,0.5,4.0,10,False,1.5,-0.011495030972366704,98850.49690276333,-0.02470587813165781,-0.34511452524421704,85,758.5663752128602,677.9259406044005,540.0739500900164,31.75199999999998,21133.910011291504,19550.440322875977
301,rolling_ols,20,1e-05,1.5,0.5,4.0,10,True,1.5,-0.021066373571920316,97893.36264280797,-0.024443272288804607,-0.846354567906578,43,382.3796408720017,340.7280186763762,276.4481158718477,-109.71300000000002,21069.600372314453,15706.600608825684
302,rolling_ols,20,1e-05,1.5,0.5,4.0,30,False,1.5,-0.009928138693517718,99007.18613064823,-0.02273223540728153,-0.28744240218343653,85,758.5627409303281,677.9752726398465,561.7070117721038,32.39899999999997,21070.980010986328,19521.670322418213
303,rolling_ols,20,1e-05,1.5,0.5,4.0,30,True,1.5,-0.021084253016173005,97891.5746983827,-0.02391999245613019,-0.8076978820324936,43,382.3492634786415,340.72079266700734,289.2441532017958,-109.71300000000002,21069.600372314453,15782.500314712524
